batch,2pfrdcbv - Epoch-avg,1vlwdpaf - Epoch-avg,3q5r1k4c - Epoch-avg,2ou7x7rk - Epoch-avg,2of8vzop - Epoch-avg,znl3k74z - Epoch-avg,dqa3ciqr - Epoch-avg,38tl42kk - Epoch-avg,3bpfsd8d - Epoch-avg,crmenqdd - Epoch-avg,wkv86ypm - Epoch-avg,cbcew5d9 - Epoch-avg,1kjkg864 - Epoch-avg,21lmx0bg - Epoch-avg,1wdqz6bc - Epoch-avg,23goukka - Epoch-avg,ur7wlzu9 - Epoch-avg,44b0bp7u - Epoch-avg,23xz4hxx - Epoch-avg,2rpe846y - Epoch-avg,2a1um07g - Epoch-avg,38ivexlk - Epoch-avg,6f7b1xzy - Epoch-avg,310hojhb - Epoch-avg,35lb2llj - Epoch-avg,1zvhc3c0 - Epoch-avg,13yoh3y3 - Epoch-avg,174wdx2b - Epoch-avg,21uke5qo - Epoch-avg,4gu1xe65 - Epoch-avg
12,-1267.809778,-1013.769259,-1276.647765,-1421.091559,-958.7384337,-1072.429782,-1158.903143,-1272.434444,-986.6113262,-1289.718562,-1317.592005,-1513.460032,-1113.619194,-1100.459234,-1240.185895,-1225.356563,-1520.841886,-1417.341931,-1435.265159,-1098.300848,-1474.149987,-1274.077718,-1536.40367,-1168.877937,-1172.790817,-941.2537597,-1040.317197,-1206.549214,-1261.944215,-941.4491606
13,-1068.202783,-1107.012997,-1379.328353,-1579.029638,-1208.837162,-1172.157408,-1138.958264,-1116.026899,-1137.534723,-929.0920261,-1383.244522,-1417.796251,-1392.625625,-749.5767586,-1440.152619,-1032.401139,-1248.854731,-1210.080966,-1302.220744,-1144.84657,-1156.841888,-1277.245656,-1332.240343,-1024.514857,-1104.50479,-1076.265282,-1059.744563,-1012.98293,-1037.103253,-1256.933034
14,-1231.083364,-1036.183475,-1139.335917,-1502.150667,-1223.292679,-1090.167873,-1018.131853,-1345.59022,-1050.60538,-975.0749361,-1350.676339,-1457.087687,-1344.505667,-672.942886,-1232.836835,-1166.111261,-1515.945425,-1389.017957,-1539.442128,-1296.79352,-1173.330979,-904.884708,-1294.293687,-1030.307406,-984.7418182,-982.9867194,-1125.651153,-801.261816,-1006.758944,-1055.534842
15,-1043.722261,-1081.78147,-1061.11187,-1490.163543,-735.8932887,-1094.357058,-1013.294074,-1188.178324,-1251.020109,-1116.278782,-1428.059316,-1542.260657,-1148.984575,-1081.394225,-1399.112785,-1040.628183,-1510.15025,-1356.310069,-1434.949016,-1364.810749,-1255.260914,-1264.602841,-1365.43,-992.7043297,-1298.242686,-889.5273392,-1121.096884,-1181.928145,-753.9269232,-1158.355514
16,-1286.366279,-802.0496302,-1028.009255,-1384.031256,-950.9620803,-1133.603396,-800.7309394,-1249.462348,-978.9201989,-1245.539194,-1459.585633,-1313.399954,-1016.493954,-1138.557922,-1288.667761,-909.0303651,-1380.069099,-1243.9904,-1414.424318,-917.7095743,-1196.122771,-1368.421934,-1427.275928,-883.8735363,-1164.643715,-1147.509806,-1400.399061,-948.4948672,-690.5707337,-1120.394374
17,-1231.878605,-871.4626466,-968.6244091,-1479.653301,-1124.927786,-1086.140971,-892.6814295,-1115.275369,-1048.990648,-1009.613102,-1197.201212,-1516.349924,-1347.687024,-909.6742745,-1435.830726,-1055.562162,-1451.492731,-1263.372501,-1472.682934,-1049.562822,-1080.706115,-1361.382783,-1503.492362,-890.8134459,-971.5961225,-1007.046106,-1326.973987,-1042.854316,-672.4231655,-1243.951371
18,-1384.981921,-850.8257594,-844.7381497,-1511.962574,-1042.470365,-1011.776094,-778.9306221,-1069.882693,-1130.364988,-948.7753678,-1270.572015,-1282.881178,-1429.779106,-729.9039736,-1014.841746,-966.9712441,-1462.442441,-1573.194995,-1452.146873,-910.0943223,-1097.251059,-1196.75024,-1505.00189,-908.7853706,-1270.492917,-1103.826214,-1085.077911,-1028.084948,-893.461589,-869.7892471
19,-1118.944724,-961.6632746,-764.4773781,-1461.564292,-1037.646258,-1023.203932,-768.4012406,-1130.111292,-1171.690911,-1175.632095,-1332.984108,-1382.016124,-1411.810619,-1000.889598,-945.3343885,-763.1897177,-1489.76084,-1516.205972,-1214.081423,-1026.33613,-913.7180527,-1370.062756,-1384.649443,-956.5919648,-1254.023305,-1057.903076,-857.4455628,-697.5368559,-715.2820327,-1162.221407
20,-871.4729351,-1011.735355,-847.5144315,-1426.066652,-1211.246426,-1103.316462,-837.0406336,-955.7852462,-1227.798963,-1153.517155,-1219.746408,-1282.71573,-1151.8354,-1296.931166,-1336.093362,-827.5901693,-1381.943351,-1469.492888,-1497.767188,-1186.717923,-1341.041255,-1241.277007,-1443.977844,-993.6403198,-965.7981842,-841.3265522,-913.3810006,-1025.439976,-749.6439343,-1223.971687
21,-1065.140652,-774.2419002,-1137.210523,-1436.760248,-1152.28501,-885.1330947,-907.1024367,-1042.895291,-1087.608884,-1236.406294,-1385.480937,-1484.948624,-944.5640677,-922.7252381,-1278.969224,-631.1784724,-1446.187179,-1537.215205,-1314.79021,-1013.165142,-1065.347702,-1270.834197,-1250.083466,-1155.63281,-913.9913767,-922.3747951,-1170.716903,-748.6074998,-746.4039508,-1003.656281
