batch,3lanahdw - Epoch-avg,1ife0qil - Epoch-avg,tfvtshog - Epoch-avg,433ue2xx - Epoch-avg,e0dedoks - Epoch-avg,2lfb1f90 - Epoch-avg,mdpd09s2 - Epoch-avg,3f1szh6n - Epoch-avg,2o0lr4zq - Epoch-avg,73as3he7 - Epoch-avg,3sjxadky - Epoch-avg,1ygq8soq - Epoch-avg,3gz7izya - Epoch-avg,1u3xq86f - Epoch-avg,9pdaam52 - Epoch-avg,1eu9086i - Epoch-avg,38qfqzgl - Epoch-avg,gisbw50a - Epoch-avg,1ueeneqe - Epoch-avg,2vzwcwtv - Epoch-avg,3olusoh7 - Epoch-avg,hcvf3a5h - Epoch-avg,l0xvi90b - Epoch-avg,2pzhu18n - Epoch-avg
48,-621.355126,-594.1106373,-1311.266391,-393.0918201,-837.7482746,-342.9872069,-804.2647962,-324.2683339,-864.4665044,-900.6824126,-503.7939816,-854.7963588,-704.1696962,-261.6152141,-913.7658864,-627.9780104,-602.3907554,-885.7476156,-824.8539973,-447.3949243,-1168.407481,-1269.089149,-540.4164772,-1386.1319
49,-366.7220389,-471.7924915,-1437.450513,-1077.719099,-711.5843745,-311.7707926,-714.84594,-721.8540327,-884.7585748,-231.0395411,-443.1971355,-1122.90206,-731.1790291,-260.8508932,-656.729554,-581.3693928,-557.7418013,-612.8354612,-917.2444188,-468.0688292,-1161.924202,-1182.535923,-682.7414609,-1309.648552
50,-669.5278433,-373.3295247,-1476.835133,-657.9273221,-459.4740078,-819.7162994,-809.2386075,-807.5238267,-819.8699475,-996.0597661,-326.8552789,-849.6003536,-673.3595912,-362.8770799,-1050.979465,-920.4098587,-731.2981848,-864.3844384,-1042.790227,-670.6906751,-1024.688381,-759.9020132,-586.7626979,-1152.455875
51,-1039.980603,-229.9178943,-1377.349273,-444.9213763,-564.3315743,-481.6648444,-492.6468472,-957.9231778,-841.4110037,-1002.426589,-395.1592734,-1045.226398,-488.5302223,-873.0918199,-999.8117889,-197.9800409,-861.0867193,-572.5357047,-570.5830267,-595.9310676,-617.1569557,-935.6816781,-158.6347884,-1046.160435
52,-703.3941641,-598.7110855,-1398.185256,-661.9053677,-94.32458343,-404.6979725,-637.4852182,-830.8627118,-167.996316,-362.6914905,-325.6046343,-1156.603617,-136.4116503,-773.4529048,-811.2631948,-203.4461076,-621.521552,-747.3236014,-438.115445,-687.9107758,-485.5846444,-659.3256766,-342.45732,-892.717983
53,-840.081189,-951.4350552,-1515.878477,-546.0070885,-653.6534935,-271.4858905,-614.6557268,-1149.265709,-267.4967273,-482.2735221,-793.4282852,-968.1460923,-199.7261344,-167.4619755,-124.336046,-959.1612895,-895.4710327,-751.6282011,-589.6532696,-657.7987232,-980.2007473,-320.9468136,-369.1809603,-1393.566178
54,-390.7285748,-892.9464265,-1577.276123,-757.558813,-730.6407118,-800.1846292,-749.1731967,-964.3630708,-236.8983619,-571.6135409,-538.2044721,-1165.454978,-790.5555961,-555.9520113,-647.0814585,-1239.549257,-871.6912657,-831.3962207,-1030.069145,-1007.386281,-688.3169468,-297.2113393,-164.8696159,-1427.532909
55,-330.032416,-992.5738225,-1384.952036,-858.5444703,-397.5386415,-235.3537869,-396.8403419,-1084.871794,-230.0932276,-721.9918305,-403.5469919,-1288.60518,-329.6481334,-165.0211397,-1088.039691,-930.4180353,-703.6361979,-690.5040115,-1290.208393,-820.5494251,-599.2595464,-735.278422,-368.2576835,-1369.148489
56,-435.8638,-677.9211149,-1584.132169,-998.3725638,-400.8687333,-360.6017113,-452.2419079,-956.8390884,-265.9740276,-1119.411277,-478.736006,-1054.114894,-462.4762469,-697.9423422,-751.7696781,-365.1404548,-549.6839867,-1006.737267,-1299.021394,-363.3295129,-647.9359452,-348.952025,-292.8052539,-1421.124059
57,-979.9064451,-1006.217853,-1480.274656,-720.7688854,-376.1046215,-357.6956888,-262.9689123,-1051.096206,-527.7132052,-944.4178544,-671.0137614,-1055.367641,-170.1861395,-297.8201146,-862.3122953,-608.9354846,-507.0941791,-983.4396446,-1286.030964,-644.9824635,-574.2176771,-270.9885442,-129.7060565,-1305.85177
